Folder & Position (f#p#),Prints (#),Negatives (#),Other (# and describe),Faces (#),Annotation - Front,Annotation - Back,Description for Negative,Neg. Pos.,,,,,,,,,,,,,,,
f1p1,0,1,,1,,,Exterior of Mrs. Kane's Boarding House,,,,,,,,,,,,,,,,
f1p2,0,1,,1,,,"Law Office Walter, Parks, and Thatcher",,,,,,,,,,,,,,,,
f1p3,0,1,,1,,,Exterior of Mrs. Kane's Boarding House (sled and snowman),,,,,,,,,,,,,,,,
f1p4,1,1,,3,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f1p5,1,1,,3,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f1p6,1,1,,3,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f1p7,1,1,,3,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f1p8,1,1,,3,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f1p9,1,1,,3,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f1p10,0,1,,1,,,Exterior of something/Street Shots straight on/Swatstika/Hammer,,,,,,,,,,,,,,,,
f2p1,1,0,,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 25 '40 PM"", clock time stamp showing 4:30",,,,,,,,,,,,,,,,,
f2p2,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 5 '40 PM"", clock time stamp showing 5:50",,,,,,,,,,,,,,,,,
f2p4,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 10 '40 AM"", clock time stamp showing 8:58",,,,,,,,,,,,,,,,,
f2p6,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""9-40""",,,,,,,,,,,,,,,,,
f2p8,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 3 '40 AM"", clock time stamp showing 8:35",,,,,,,,,,,,,,,,,
f2p9,0,1,1 paper sleeve w/annotations,2,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""",,Second Floor Enquirer Building,,,,,,,,,,,,,,,,
f2p10,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f2p11,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f2p12,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f3p1 ,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f3p3,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 10 '40 AM""; clock time stamp showing 8:58",,,,,,,,,,,,,,,,,
f3p5,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 10 '40 AM""; clock time stamp showing 8:58",,,,,,,,,,,,,,,,,
f3p7,1,1,,3,"TL: ""2nd Floor - Enquirer Bldg - Prod. #281-15"" TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 9 '40 AM""; clock time stamp showing 9:05",,,,,,,,,,,,,,,,,
