Unique Identifier,Set Number,Date and Time,﻿Folder & Position (f#p#),Prints (#),Negatives (#),Other (# and describe),Faces (#),Annotation - Front,Annotation - Back,Description for Negative,Neg. Pos.,,,,,,,,,,,,,,,
12-1-P,12,1940-08,f5p1,1,0,,2,"TL: ""Bernstein's Office - Enquirer Bldg - Prod. #281-12""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
12-1-N,12,1940-08,f5p1,0,1,,1,"TL: ""Bernstein's Office - Enquirer Bldg - Prod. #281-12""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-1-P,13,1940-08,f1p4,1,0,,2,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-1-N,13,1940-08,f1p4,0,1,,1,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-2-P,13,1940-08,f1p5,1,0,,2,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-2-N,13,1940-08,f1p5,0,1,,1,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-3-P,13,1940-08,f1p6,1,0,,2,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-3-N,13,1940-08,f1p6,0,1,,1,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-4-P,13,1940-08,f1p7,1,0,,2,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-4-N,13,1940-08,f1p7,0,1,,1,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-5-P,13,1940-08,f1p8,1,0,,2,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-5-N,13,1940-08,f1p8,0,1,,1,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-6-P,13,1940-08,f1p9,1,0,,2,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
13-6-N,13,1940-08,f1p9,0,1,,1,"TL: ""Chicago Enquirer (1919)-Prod. #281-13"" BR:""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
